epoch,week,tow,time_gps_s,gt_ecef_x_m,gt_ecef_y_m,gt_ecef_z_m,gt_lat_deg,gt_lon_deg,gt_h_m,gt_vel_x_mps,gt_vel_y_mps,gt_vel_z_mps,speed_mps,is_static
103,2206,379440.000193204,1334568240.00019,-2399703.7789979,5383204.34799672,2429700.31199924,22.5395076014154,114.026169901958,5.13482813437647,0.0108461925450165,-0.0169127213702305,-0.00390231853113565,0.0204672452173972,1
104,2206,379441.000195118,1334568241.0002,-2399703.8019979,5383204.4509972,2429700.36699858,22.5395077020785,114.026169698493,5.2514502244184,0.0107701445582009,-0.014288808418844,-0.00723867227879148,0.0193019283024966,1
105,2206,379442.000197034,1334568242.0002,-2399703.81399705,5383204.52899581,2429700.39799877,22.5395076971253,114.026169496311,5.33364463929562,0.0149383624926751,-0.0211848944247767,-0.00621132241089449,0.0266558614913039,1
106,2206,379443.000198947,1334568243.0002,-2399703.82599792,5383204.60599728,2429700.44199819,22.5395078037432,114.026169298091,5.41998138072102,0.0104664300292239,-0.0136097752689889,-0.00907946175071179,0.0194218630957913,1
107,2206,379444.00020086,1334568244.0002,-2399703.82999659,5383204.6649958,2429700.47599848,22.5395078951591,114.026169100076,5.4842888386325,0.0169805137576806,-0.0208585263145483,-0.00750378285512996,0.0279235156208245,1
108,2206,379445.000202773,1334568245.0002,-2399703.83999549,5383204.73699237,2429700.52899745,22.5395080954834,114.02616890389,5.56910035207458,0.0222425519114396,-0.0375410580506243,-0.0125518194172203,0.045404959264115,1
109,2206,379446.000204689,1334568246.0002,-2399703.83899487,5383204.81099252,2429700.58099697,22.5395082966396,114.026168602108,5.65108255228498,0.0250317069756004,-0.0364633030663212,-0.0147903395635692,0.0466359621861112,1
110,2206,379447.000206604,1334568247.00021,-2399703.84899544,5383204.88499282,2429700.62299606,22.5395083988814,114.026168398006,5.73336854466006,0.0220470488450803,-0.0347070640342623,-0.0190280384418891,0.0453069410090965,1
111,2206,379448.000208525,1334568248.00021,-2399703.8639967,5383204.94399517,2429700.65999649,22.5395084998012,114.026168297668,5.80296681438382,0.0157937231110576,-0.023102442285341,-0.016815068319767,0.0326482932456614,1
112,2206,379449.000210437,1334568249.00021,-2399703.86899647,5383205.00499468,2429700.69599489,22.5395086001452,114.026168100622,5.87010467656862,0.0167427288191823,-0.0252297465348389,-0.0242700016640076,0.0388058250691288,1
